	时间	文本	翻译版	大指标	对应指标	判断依据	情感	来源	具体网址	品种
24	2015-11-25 00:00:00	受阴雨天气影响，地产菜进场量小幅减少，带动部分叶类菜价呈小幅涨势	Affected by the rainy weather, real estate dishes into a small reduction in the amount of vegetables led to a slight increase in vegetable prices	自然环境	天气	阴雨天气，菜价呈小幅涨势	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201511/t20151125_4914453.htm	蔬菜
25	2015-11-26 00:00:00	上周进入大雪节气，受寒冷天气的影响，蔬菜生长周期明显加长，上市量减少，受此影响，上周蔬菜价格出现了上涨趋势。	Last week into the snow and solar terms, affected by the cold weather, vegetable growth cycle was significantly longer, the amount of listed reduction, affected by the last week, vegetable prices rose trend.	自然环境	天气	寒冷天气，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151216_4954078.htm	蔬菜
26	2015-12-21 00:00:00	进入冬季以后，本市蔬菜供应主要以南方蔬菜及北方暖棚菜为主，批发价格进入季节性上涨区间。	After entering the winter, the city's vegetable supply mainly to the south of the main vegetables and vegetables, the wholesale price into the seasonal range.	自然环境	天气	冬季以后，批发价格季节性上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151221_4958604.htm	蔬菜
27	2015-12-24 00:00:00	一方面，降温天气对合肥周边蔬菜生长不利，上市量减少；另一方面，长途调运菜价小幅上扬，带动茄果类蔬菜价格上涨。	On the one hand, the cooling of the surrounding vegetables on the Hefei surrounding adverse growth, the amount of listed on the reduction; the other hand, long-distance transport vegetable prices rose slightly, driving egg and vegetable prices rose.	自然环境	天气	降温，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151224_4965036.htm	蔬菜
28	2015-12-29 00:00:00	上周叶菜价格继续呈上扬走势，上涨的主要原因是：气温下降影响	Last week, leafy vegetables prices continued to rise trend, the main reason for the rise is: the impact of falling temperatures	自然环境	天气	气温下降影响，叶菜价格上扬	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151229_4969215.htm	蔬菜
29	2016-01-06 00:00:00	本月前中期冷空气携风雨频繁南下，明显降温，本地鲜叶菜上市量减少，本月菜品总体价格仍有所上涨。	This month before the middle of the cold air carrying frequent south and south, significantly cooling, the local fresh leafy vegetables to reduce the amount of this month, the overall price of dishes is still rising.	自然环境	天气	冷空气频繁，降温，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160106_4976556.htm	蔬菜
30	2016-01-07 00:00:00	北方设施蔬菜的价格普遍高于去年同期，是今年11月以来连续不断的雾霾、阴天、降雪的后遗症。	Northern vegetable prices generally higher than the same period last year, is since November this year, continuous haze, cloudy, snow sequelae.	自然环境	天气	雾霾，阴天，降雪，价格高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160107_4977945.htm	蔬菜
31	2016-01-21 00:00:00	近日江苏地区大幅降温，受雨雪天气影响，蔬菜价格爆涨	Recently, Jiangsu Province, a substantial cooling, affected by rain and snow, vegetable prices soared	自然环境	天气	降温，雨雪天气，价格暴涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160121_4992888.htm	蔬菜
32	2016-01-25 00:00:00	由于气温下降，加上目前正处春供期间，上周一些反季节精品菜的价格也呈上扬走势	Due to the temperature drop, coupled with the current spring supply period, some anti-season boutique last week, the price of food was also rising trend	自然环境	天气	气温下降，价格上扬	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160125_4996537.htm	蔬菜
33	2016-01-26 00:00:00	恶劣天气对上周凌家塘市场各类农产品交易影响较大，蔬菜、肉蛋、水产品价格都出现了小幅上涨。	Bad weather on the Lingjiatang market last week, a wide range of agricultural products, vegetables, meat and eggs, aquatic products prices have risen slightly.	自然环境	天气	恶劣天气，价格小幅上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160126_4998390.htm	蔬菜
34	2016-01-26 00:00:00	由于受前段时间连续阴雨影响，叶菜青黄不接，本地蔬菜产量减少，价格持续走高；	Due to the impact of continuous rainy days ago, leafy green and yellow, local vegetable production decreased, the price continued to rise;	自然环境	天气	阴雨影响，价格走高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160126_4998387.htm	蔬菜
35	2016-01-26 00:00:00	大寒伊始，全国大部分地区开启“冰河模式”，蔬菜南下运输受阻，进一步推高了蔬菜的价格。	"At the beginning of the cold, most parts of the country to open the ""glacier model"", vegetables, south of the transport blocked, and further push up the price of vegetables."	自然环境	天气	大寒，推高蔬菜价格	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201601/t20160126_4998387.htm	蔬菜
36	2016-02-01 00:00:00	受雨雪天气影响，今日市场内部分绿叶菜的价格呈上扬走势	Affected by rain and snow weather, today the market price of some green leafy vegetables rose trend	自然环境	天气	雨雪天气，价格上扬	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201602/t20160201_5004985.htm	蔬菜
37	2016-02-02 00:00:00	受下旬全国大范围降雪降温天气影响，降温后蔬菜价格持续上涨	By the end of the country a wide range of snow cooling weather, after cooling the price of vegetables continued to rise	自然环境	天气	降雪降温天气，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201602/t20160202_5006252.htm	蔬菜
38	2016-02-03 00:00:00	受寒潮影响，近郊菜园出现受灾受冻现象，生长速度缓慢且收成少，上市蔬菜货源减少	Affected by the cold wave, suburban vegetable garden affected by the phenomenon of freezing, slow growth and less harvest, the market supply of vegetables to reduce	自然环境	天气	寒潮影响，菜园受灾受冻，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201602/t20160203_5007448.htm	蔬菜
39	2016-02-29 00:00:00	叶菜类下跌较为明显，是因为产地的转换，春节期间天冷价高，外地菜占市场主导地位，交通不便，运输费用高	Leafy vegetables fell more obvious, because the origin of the conversion, the cold during the Spring Festival is high, the field of vegetable market dominance, traffic inconvenience, high transport costs	自然环境	天气	天冷价高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201602/t20160229_5032604.htm	蔬菜
40	2016-03-02 00:00:00	南方产地持续降雨影响，近期市场莴苣上市量偏紧，收购价上扬，价格涨幅明显	Southern land continued to affect the impact of the recent market, lettuce market volume is tight, the purchase price rose, the price rose significantly	自然环境	天气	持续降雨，价格涨幅明显	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160302_5036674.htm	蔬菜
41	2016-03-03 00:00:00	天气不佳。受今年年初南方大范围寒潮影响，云南一带雨水增多，不利于洋葱的收获和晾晒保存，带来上市量减少	Bad weather. By the beginning of this year, the impact of a large range of southern cold, Yunnan rain increased, is not conducive to the harvest of onions and drying, to bring the amount of listed	自然环境	天气	寒潮影响，雨水增多，价格上升	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160303_5038365.htm	蔬菜
42	2016-03-09 00:00:00	各产地的春季白菜由于受前段时间的寒潮天气影响导致上市延迟，从而使大白菜继续维持着供不应求的状态，价格自然上涨	Spring cabbage from the origin of the cold weather due to some time ago led to the delay in listing, so that the Chinese cabbage continue to maintain the state in short supply, the price rose naturally	自然环境	天气	寒潮影响上市，供不应求，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160309_5045449.htm	蔬菜
43	2016-03-17 00:00:00	年前的超级寒流和降雪等恶劣天气，导致南方许多地区蔬菜生长受到不同程度影响，产量下降。	Years of super cold and snow and other bad weather, resulting in many areas of the South vegetable growth affected by varying degrees, yield decline.	自然环境	天气	寒流，降雪，价格增长	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160317_5057258.htm	蔬菜
44	2016-03-21 00:00:00	连续几天的雨雾寡照天气使叶菜价格或多或少惯性上涨，加上部分外埠菜品种青黄不接，影响了市场蔬菜的价格。	For several days of rain and fog in the weather so that the price of leafy vegetables more or less inertia, coupled with some varieties of vegetables outside the green, affecting the market price of vegetables.	自然环境	天气	雨雾，影响上市价格，价高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160321_5064269.htm	蔬菜
45	2016-03-25 00:00:00	受去年雨雪天气影响，多省份蔬菜在幼苗生长期大量死亡，导致市场上市的货量减少，又加上大部分蔬菜处于青黄不接的时期，直接拉高了蔬菜的销售价格。	Affected by last year's rain and snow weather, many provinces of vegetables in the seedling growth period of a large number of deaths, resulting in the market to reduce the volume of goods, coupled with most of the vegetables in the lean period, directly pulled the vegetable sales price.	自然环境	天气	雨雪天气，拉高价格	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160325_5071130.htm	蔬菜
46	2016-03-28 00:00:00	持续微寒雨雾及“回南天”天气，阴雨寡照天气导致本地蔬菜供应量减少，本地叶菜价格上涨明显	"Continued micro-rain and rain and ""back to the south"" weather, rainy weather caused by the reduction of local vegetable supply, local leafy vegetables rose significantly"	自然环境	天气	回南天，阴雨寡照，叶菜价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160328_5072953.htm	蔬菜
47	2016-03-28 00:00:00	因“回南天”路面湿滑能见度低通行速度慢，运输受到影响，到达时间延长成本增加。	"Due to ""back to the South"" road slippery visibility low traffic slow, transport affected, the arrival time to extend the cost increase."	自然环境	天气	回南天，成本增加，价格升	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201603/t20160328_5072953.htm	蔬菜
48	2016-04-25 00:00:00	上周阴雨复晴，气温大幅上升，对仍在大棚中生长的叶菜造成较大影响，棚中高温让叶菜叶子出现蔫了的情况，导致叶菜价格上涨。	Last week, rain and rain, the temperature rose sharply in the greenhouse is still growing in the leafy vegetables have a greater impact, the shed in the high temperature leaves the leafy leaves appear wilting the situation, resulting in leafy vegetables prices.	自然环境	天气	阴雨复晴，气温上升，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201604/t20160425_5106414.htm	蔬菜
49	2016-06-01 00:00:00	上周由于受降雨影响，部分叶类蔬菜不便储存，加上本地大棚蔬菜供应不足，外运蔬菜量大量增加，这样导致小部分蔬菜的价格上涨，但浮动不是很大。	Last week due to the impact of rainfall, some leaves of vegetables inconvenience storage, coupled with the lack of local greenhouse vegetable supply, a substantial increase in the amount of foreign transport of vegetables, which led to a small number of vegetable prices, but the float is not great.	自然环境	天气	降雨，不便存储，供应不足，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201606/t20160601_5157790.htm	蔬菜
50	2016-06-17 00:00:00	近期雨水天气较多，部分蔬菜受其影响，上市量有所减少，价格随之上涨	The recent rain more weather, some vegetables affected by its market volume has decreased, the price rose	自然环境	天气	雨水较多，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201606/t20160617_5179512.htm	蔬菜
51	2016-06-27 00:00:00	上周高温炎热，天气较为干燥，本地叶菜生长放缓且受艳阳直射叶片质量不高，菜价仍呈上升趋势。	Last week, hot and hot weather, the weather is more dry, slow growth of local leafy vegetables and leaves by the direct quality of the sun is not high, vegetable prices are still on the rise.	自然环境	天气	高温炎热，天气干燥，菜价上升	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201606/t20160627_5187296.htm	蔬菜
52	2016-06-28 00:00:00	由于前期受暴雨及近日持续高温影响，部分土地被淹和蔬菜采摘减少，相比上一周，市场供应偏紧，大多数蔬菜、瓜果价格走高。	Due to the early heavy rain and the recent sustained high temperature, part of the land was flooded and vegetable picking reduced, compared to last week, the market supply tight, most vegetables, fruits prices higher.	自然环境	天气	暴雨高温影响，价格走高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201606/t20160628_5188742.htm	蔬菜、瓜果
53	2016-06-29 00:00:00	近期雨水天气比较多，采摘方面受到影响，黄瓜产量有所减少，量少价涨。	Recent rainy weather is more, picking affected, cucumber production has been reduced, the amount of low prices rose.	自然环境	天气	雨水多，价涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201606/t20160629_5190640.htm	蔬菜
54	2016-06-30 00:00:00	蔬菜整体价格受到雷阵雨天气和冰雹的影响，菜价环比小幅上涨	The overall price of vegetables by the thunderstorm weather and the impact of hail, vegetable prices rose slightly	自然环境	天气	雷阵雨，冰雹影响，菜价上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201606/t20160630_5191818.htm	蔬菜
55	2016-07-04 00:00:00	近期持续阴雨天气，对地产菜生产、采摘不利，上市量相对减少，带动菜价（特别是叶类菜价）上涨	The recent continuous rainy weather, the production of real estate, picking unfavorable, the relative reduction in the amount of listed, led to vegetable prices (especially leafy vegetables) rose	自然环境	天气	阴雨天气，菜价上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201607/t20160704_5194900.htm	蔬菜
56	2016-07-07 00:00:00	受强对流降水影响出现水浸，田间取菜困难且采摘不及，菜价反弹上升	Due to strong convective precipitation flooding, the field difficult to pick vegetables and picking less, vegetable prices rebounded	自然环境	天气	强对流降水影响，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201607/t20160707_5199241.htm	蔬菜
57	2016-07-18 00:00:00	上周我市雨水天气较多，受降雨影响，部分蔬菜价格出现了上涨，尤其是叶类蔬菜涨幅最为明显。	Last week, the city more rainy weather, affected by rainfall, some vegetable prices rose, especially the most obvious increase in leafy vegetables.	自然环境	天气	雨水多，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201607/t20160718_5209250.htm	蔬菜
58	2016-07-29 00:00:00	本周进入三伏天中的中伏阶段，持续高温干旱天气，本地蔬菜生产进入换茬期的季节性短缺时节，菜价有所上涨。	This week into the valley in the middle of the stage, sustained high temperature and dry weather, the local vegetable production into the crop season seasonal short season, vegetable prices have risen.	自然环境	天气	持续高温干旱，菜价上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201607/t20160729_5222808.htm	蔬菜
59	2016-08-26 00:00:00	近期高温天气，地产菜上市量减少	Recent hot weather, real estate market to reduce the amount	自然环境	天气	高温天气，价格涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160802_5225754.htm	蔬菜
60	2016-08-17 00:00:00	前段时间高温天气，市场上大多数蔬菜的价格涨得有点猛	Some time ago hot weather, the market price of most vegetables rose a bit fierce	自然环境	天气	高温天气，价格涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160817_5241037.htm	蔬菜
61	2016-08-19 00:00:00	本周我市受降雨影响，叶菜长势缓慢，而且特别容易腐烂，导致本地蔬菜产量低，货源紧缺，而外地蔬菜还要加上运输和储存等成本，价格也随之水涨船高。	This week the city affected by rainfall, leafy vegetables grow slowly, and particularly easy to rot, resulting in local vegetable production is low, supply shortage, and the field of vegetables but also with the transport and storage costs, prices also rise.	自然环境	天气	降雨，价格涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160819_5244301.htm	蔬菜
62	2016-08-22 00:00:00	由于前期菠菜、油菜受高温影响，供应量不足，价位相对偏高	As the early spinach, rape affected by high temperature, supply is insufficient, the price is relatively high	自然环境	天气	高温影响，价位偏高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160822_5245866.htm	蔬菜
63	2016-08-25 00:00:00	近期雨水较多，每当降水以后，对蔬菜的收购活动都会带来一些影响	The recent rain more, whenever the precipitation after the acquisition of vegetables will have some impact on the activities	自然环境	天气	雨水较多，价格回升	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
64	2016-08-25 00:00:00	今年入夏以来，北方产区雨水比较勤，一部分蔬菜受降雨影响出现烂叶、烂根、烂果现象，产量下降	Since the beginning of this year, the northern region of the rain more diligent, part of the vegetables affected by rainfall rotten leaves, rot, rotten fruit phenomenon, production decline	自然环境	天气	雨水较勤，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
65	2016-08-25 00:00:00	前期降雨比较多，当地黄瓜出现黄叶、烂根现象，导致黄瓜产量下降	Early rainfall is more, the local cucumber yellow leaves, rotten phenomenon, resulting in decreased cucumber production	自然环境	天气	降雨较多，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
66	2016-08-25 00:00:00	近期阴雨天气比较多，光照不足也导致减产	Recent rainy weather is more, lack of light also led to cut production	自然环境	天气	阴雨天气多，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
67	2016-08-25 00:00:00	上周张家口地区西兰花价格上涨，主要是频繁降雨所致。	Last week, Zhangjiakou area broccoli prices, mainly due to frequent rainfall.	自然环境	天气	频繁降雨，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
68	2016-08-25 00:00:00	北京地区7月20日前后的强降雨，使得广茄大面积受淹，烂根、烂叶的现象比较普遍。	Beijing area on July 20 before and after the heavy rainfall, making a wide area of ​​flooded by flooded, rot, rotten leaves of the phenomenon is more common.	自然环境	天气	强降雨，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
69	2016-08-25 00:00:00	近期一些品种蔬菜的价格上涨，实际上是受到降雨频繁的影响。	Some of the recent varieties of vegetable prices, in fact, is affected by frequent rainfall.	自然环境	天气	降雨频繁，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160825_5253666.htm	蔬菜
70	2016-08-26 00:00:00	由于高温酷暑天气，土壤水分蒸发大，不利于叶菜类蔬菜的生长，价格上涨。	Due to the high temperature and heat of the weather, the soil moisture evaporates greatly, which is not conducive to the growth of leafy vegetables and prices.	自然环境	天气	高温酷暑，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201608/t20160826_5255172.htm	蔬菜
71	2016-09-22 00:00:00	受中秋节期间的台风、连续降雨影响，叶菜价格涨幅明显。	By the Mid-Autumn Festival during the typhoon, continuous rainfall, leafy vegetables rose significantly.	自然环境	自然灾害	台风影响，价格涨幅明显	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201609/t20160922_5281964.htm	蔬菜
72	2016-09-26 00:00:00	今年高温持续时间较长，青尖椒早期受高温影响花落没结果，导致市场呈供不应求的状态，价格直线上涨	This year's high temperature lasted longer, green pepper early high temperature impact did not result, resulting in the market was in short supply, the price rose straight	自然环境	天气	高温持续，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201609/t20160926_5285316.htm	蔬菜
73	2016-10-08 00:00:00	受到大范围降雨、降温的影响，阴雨天气导致光照不足，影响了蔬菜的生长，及采摘、砍收，造成市场上蔬菜供应的不稳定	Due to a wide range of rainfall, the impact of cooling, rainy weather led to lack of light, affecting the growth of vegetables, and picking, harvesting, resulting in the supply of vegetables on the market instability	自然环境	天气	降雨降温，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201610/t20161008_5298944.htm	蔬菜
